cell,lookback,units,val_MAE,val_RMSE,val_MAPE,epochs_run,n_params,train_time_s
LSTM,12,128,62.29656903835837,91.84758885973518,15.210675791426107,40,66689,22.248127900002146
LSTM,12,64,64.41250743947828,92.26960264450625,17.43646607933881,40,16961,14.315441500002635
LSTM,72,128,67.04808845322025,96.7434543618193,17.685117384054326,35,66689,89.28381569999692
LSTM,288,64,66.96182670151667,98.66877551846206,15.346973415098978,38,16961,205.8770420999972
LSTM,144,128,69.65367283716994,100.04535897318499,18.40363856756562,31,66689,178.15340429999924
LSTM,288,128,72.56087251359187,100.12918011857539,22.014187580100813,39,66689,425.6550535999995
LSTM,72,64,75.95816085577836,105.21231530116887,22.651620285678277,28,16961,37.78542930000185
LSTM,144,64,81.75983189745241,107.6597350063656,28.891299260852747,33,16961,83.03553479999755
LSTM,144,32,84.24181069786371,111.8779648610138,27.798827883642215,40,4385,71.71504350000032
LSTM,288,32,85.34122886853035,113.40395800463547,25.869368687515077,33,4385,127.22245150000163
LSTM,12,32,84.82292638295709,113.96981214760534,28.459705040225657,22,4385,6.407850200001121
LSTM,72,32,94.19088689678681,122.42351993797887,33.203738373512515,24,4385,22.443876700002875
